Country,Region,IMF_OFC
Slovenia,Europe,0
Spain,Europe,0
The former Yugoslav Republic of Macedonia,Europe,0
Austria,Europe,0
Belgium,Europe,0
France,Europe,0
Germany,Europe,0
Liechtenstein,Europe,1
Luxembourg,Europe,1
Monaco,Europe,1
Netherlands,Europe,0
Switzerland,Europe,1
Australia,Southeast Asia and Oceania,0
Christmas Island,Southeast Asia and Oceania,0
Cocos (Keeling) Islands,Southeast Asia and Oceania,0
Heard Island and McDonald Islands,Southeast Asia and Oceania,0
New Zealand,Southeast Asia and Oceania,0
Norfolk Island,Southeast Asia and Oceania,0
Fiji,Southeast Asia and Oceania,0
New Caledonia,Southeast Asia and Oceania,0
Papua New Guinea,Southeast Asia and Oceania,0
Solomon Islands,Southeast Asia and Oceania,0
Vanuatu,Southeast Asia and Oceania,1
Guam,Southeast Asia and Oceania,0
Kiribati,Southeast Asia and Oceania,0
Marshall Islands,Southeast Asia and Oceania,1
Micronesia (Federated States of),Southeast Asia and Oceania,0
Nauru,Southeast Asia and Oceania,1
Northern Mariana Islands,Southeast Asia and Oceania,0
Palau,Southeast Asia and Oceania,1
United States Minor Outlying Islands,Southeast Asia and Oceania,0
American Samoa,Southeast Asia and Oceania,0
Cook Islands,Southeast Asia and Oceania,1
French Polynesia,Southeast Asia and Oceania,0
Niue,Southeast Asia and Oceania,1
Pitcairn,Southeast Asia and Oceania,0
Samoa,Southeast Asia and Oceania,1
Tokelau,Southeast Asia and Oceania,0
Tonga,Southeast Asia and Oceania,0
Tuvalu,Southeast Asia and Oceania,0
Wallis and Futuna Islands,Southeast Asia and Oceania,0
USA,Northern America,0
UK,Europe,0
Hong Kong,East Asia,1
Russia,Europe,0
Taiwan,East Asia,0
South Korea,East Asia,0
The Bahamas,Caribbean,1
Venezuela,Central and South America,0
Tanzania,Africa,0
Vietnam,Southeast Asia and Oceania,0
Dubai - United Arab Emirates,Middle East,1
Riyadh Saudi Arabia,Middle East,0
RMI,Southeast Asia and Oceania,1
Cura̤ao,Caribbean,1
Brunei,Southeast Asia and Oceania,1
C̫te d'Ivoire,Africa,0
Macao,East Asia,1
Macau,East Asia,1
Labuan,Southeast Asia and Oceania,1
USVI,Caribbean,0
Sint Maarten,Caribbean,1
